UserID,AppID,Date,UsedMinutes,ConsumedData
21,5,21-02-2024,11,848MB
10,4,27-07-2024,99,156MB
14,5,12/3/2024,110,340MB
7,23,1/8/2024,141,782MB
17,15,20-02-2024,75,768MB
20,2,23-06-2024,92,207MB
5,9,23-04-2024,108,345MB
9,9,4/6/2024,35,315MB
19,1,3/6/2024,93,844MB
11,25,18-07-2024,50,253MB
11,14,25-05-2024,54,463MB
11,23,19-01-2024,42,243MB
1,3,7/7/2024,22,531MB
9,11,12/2/2024,145,215MB
17,6,18-01-2024,106,137MB
24,25,14-02-2024,115,402MB
14,12,28-01-2024,145,608MB
20,14,3/2/2024,98,262MB
14,6,5/3/2024,39,551MB
6,14,18-04-2024,128,501MB
15,13,5/5/2024,104,460MB
24,23,15-04-2024,114,531MB
20,25,4/7/2024,92,253MB
11,20,17-05-2024,51,705MB
6,9,23-06-2024,84,575MB
25,17,7/1/2024,61,799MB
7,14,29-07-2024,149,292MB
10,5,10/7/2024,17,301MB
13,1,4/4/2024,92,396MB
5,15,7/4/2024,45,670MB
11,17,21-01-2024,125,352MB
22,24,21-06-2024,54,235MB
4,21,30-01-2024,41,267MB
9,21,25-01-2024,75,883MB
17,17,11/7/2024,99,374MB
8,18,29-06-2024,33,579MB
10,9,21-06-2024,98,637MB
20,10,6/5/2024,120,795MB
20,22,26-04-2024,21,364MB
8,20,28-02-2024,52,749MB
9,3,4/5/2024,43,814MB
17,11,3/7/2024,12,862MB
22,5,18-04-2024,141,832MB
16,18,10/3/2024,72,910MB
15,25,24-05-2024,34,919MB
8,1,21-07-2024,94,710MB
21,23,17-06-2024,135,825MB
20,23,1/4/2024,82,470MB
9,9,17-05-2024,12,561MB
4,4,30-05-2024,60,611MB
20,15,12/6/2024,34,302MB
1,19,27-05-2024,98,324MB
24,22,16-02-2024,30,821MB
15,5,13-06-2024,81,163MB
13,25,16-03-2024,133,478MB
18,22,3/3/2024,115,976MB
13,19,11/4/2024,85,651MB
10,18,24-01-2024,91,938MB
1,17,18-03-2024,95,659MB
3,10,1/2/2024,91,577MB
13,22,25-03-2024,138,407MB
20,9,2/7/2024,100,852MB
12,18,13-02-2024,94,715MB
9,14,19-01-2024,139,199MB
8,8,1/8/2024,63,784MB
19,8,15-06-2024,30,852MB
25,8,2/7/2024,99,104MB
7,1,15-05-2024,93,388MB
4,8,16-05-2024,19,925MB
10,7,29-01-2024,138,800MB
16,4,10/2/2024,62,330MB
10,18,8/1/2024,118,937MB
21,7,29-03-2024,106,675MB
15,14,14-01-2024,70,667MB
24,16,10/7/2024,116,926MB
24,1,15-06-2024,109,374MB
19,24,27-02-2024,125,966MB
16,5,22-03-2024,12,334MB
18,3,15-02-2024,98,570MB
15,18,12/4/2024,90,542MB
21,19,28-02-2024,141,669MB
1,11,5/7/2024,89,251MB
4,6,12/3/2024,125,405MB
7,4,17-04-2024,39,200MB
15,11,25-01-2024,103,890MB
9,19,7/5/2024,20,341MB
6,14,12/4/2024,46,629MB
24,19,13-07-2024,55,822MB
5,10,13-01-2024,141,138MB
14,6,12/5/2024,52,911MB
23,20,10/5/2024,22,361MB
5,23,21-01-2024,103,372MB
2,8,7/2/2024,15,372MB
18,12,13-06-2024,113,966MB
7,8,15-01-2024,16,507MB
17,12,3/2/2024,30,970MB
18,3,2/3/2024,103,652MB
14,2,24-03-2024,77,467MB
16,25,26-03-2024,63,519MB
1,16,20-04-2024,47,417MB
1,23,2/4/2024,39,353MB
23,2,29-01-2024,109,962MB
21,25,25-06-2024,90,803MB
17,25,11/6/2024,79,827MB
18,5,2/1/2024,121,935MB
2,3,30-06-2024,106,549MB
24,7,24-02-2024,86,211MB
25,10,8/2/2024,120,559MB
15,17,18-01-2024,17,398MB
4,5,17-06-2024,65,526MB
2,24,19-03-2024,137,833MB
6,24,23-06-2024,140,640MB
25,8,27-06-2024,94,527MB
17,19,4/6/2024,32,322MB
2,8,29-01-2024,21,839MB
22,1,23-04-2024,123,948MB
23,20,25-06-2024,115,943MB
1,1,30-06-2024,123,690MB
3,10,13-06-2024,99,823MB
22,11,10/2/2024,66,726MB
9,5,16-02-2024,16,810MB
25,19,9/2/2024,70,857MB
1,19,17-05-2024,77,102MB
16,2,5/2/2024,47,212MB
13,15,20-06-2024,20,338MB
2,23,6/5/2024,65,430MB
14,18,2/3/2024,49,354MB
16,15,7/4/2024,82,706MB
8,11,31-05-2024,114,431MB
18,25,9/4/2024,138,680MB
16,22,27-07-2024,77,361MB
10,17,12/2/2024,16,656MB
20,22,20-02-2024,10,447MB
18,11,18-07-2024,51,726MB
24,17,1/2/2024,54,950MB
23,17,28-01-2024,71,446MB
7,16,24-04-2024,113,732MB
15,10,30-03-2024,133,762MB
17,16,28-04-2024,146,769MB
11,5,28-03-2024,138,674MB
15,15,12/3/2024,148,758MB
8,21,30-03-2024,89,714MB
24,18,21-01-2024,32,207MB
23,25,13-02-2024,135,201MB
14,24,11/4/2024,93,434MB
8,17,5/2/2024,14,559MB
7,11,21-03-2024,124,365MB
19,13,26-07-2024,106,468MB
15,23,5/4/2024,103,576MB
6,19,2/5/2024,38,539MB
4,21,24-01-2024,120,415MB
25,16,16-06-2024,32,203MB
20,18,24-04-2024,143,394MB
7,24,26-01-2024,23,331MB
16,19,27-03-2024,32,941MB
22,2,24-04-2024,41,220MB
16,21,8/2/2024,105,427MB
20,20,16-06-2024,104,877MB
13,12,1/5/2024,120,345MB
21,6,28-07-2024,82,493MB
7,8,13-04-2024,86,128MB
5,7,3/3/2024,80,216MB
11,2,19-07-2024,44,997MB
16,22,16-04-2024,60,947MB
9,25,4/5/2024,34,325MB
2,1,15-03-2024,100,731MB
14,23,7/6/2024,82,960MB
25,22,5/5/2024,123,341MB
8,21,17-04-2024,147,827MB
16,18,14-04-2024,148,118MB
13,1,27-03-2024,78,356MB
8,11,24-04-2024,110,580MB
21,25,4/6/2024,79,929MB
25,17,16-07-2024,83,792MB
9,12,25-03-2024,92,288MB
15,16,19-03-2024,89,409MB
22,16,18-06-2024,140,749MB
15,24,31-05-2024,77,516MB
4,22,18-05-2024,11,624MB
7,23,22-03-2024,140,163MB
25,25,1/6/2024,97,362MB
2,3,28-04-2024,74,512MB
18,15,12/6/2024,111,313MB
2,16,22-06-2024,11,713MB
12,5,16-04-2024,88,723MB
6,8,16-07-2024,149,458MB
4,13,28-04-2024,122,958MB
1,8,21-07-2024,59,660MB
20,7,14-06-2024,56,277MB
9,6,21-01-2024,138,721MB
21,11,18-03-2024,118,697MB
16,1,7/1/2024,45,962MB
22,15,22-06-2024,60,576MB
11,15,15-02-2024,71,432MB
19,10,18-02-2024,52,693MB
22,5,6/1/2024,11,726MB
10,4,13-04-2024,86,704MB
20,5,19-06-2024,41,770MB
19,15,9/4/2024,135,513MB
25,13,18-01-2024,40,121MB
7,3,10/2/2024,55,543MB
12,15,23-06-2024,111,777MB
16,25,31-07-2024,141,598MB
6,19,5/6/2024,42,111MB
2,11,11/1/2024,32,450MB
12,8,2/6/2024,26,293MB
8,21,18-06-2024,36,219MB
2,19,2/6/2024,117,279MB
24,4,11/4/2024,115,371MB
10,17,17-02-2024,40,625MB
14,9,27-03-2024,66,208MB
7,25,26-05-2024,112,504MB
16,18,13-01-2024,85,840MB
4,10,5/4/2024,119,942MB
20,10,24-03-2024,147,358MB
15,25,15-06-2024,109,523MB
3,19,17-03-2024,47,360MB
9,14,22-01-2024,23,985MB
19,7,19-03-2024,72,221MB
21,14,22-07-2024,88,106MB
14,17,10/3/2024,97,208MB
17,1,31-05-2024,55,104MB
2,21,1/4/2024,126,290MB
19,11,27-03-2024,104,796MB
6,13,20-06-2024,12,788MB
4,25,28-06-2024,11,105MB
7,20,7/1/2024,86,421MB
18,1,14-07-2024,15,903MB
8,20,28-07-2024,149,873MB
19,21,12/5/2024,58,601MB
11,18,9/1/2024,98,934MB
2,1,26-06-2024,67,579MB
15,5,8/4/2024,108,262MB
1,20,30-06-2024,142,590MB
10,2,26-05-2024,72,185MB
17,3,14-07-2024,136,417MB
20,21,24-06-2024,135,683MB
1,25,17-01-2024,40,784MB
3,10,10/2/2024,17,937MB
11,1,9/4/2024,29,243MB
4,6,4/3/2024,30,885MB
15,24,19-01-2024,49,366MB
23,6,21-04-2024,32,313MB
8,4,23-04-2024,142,423MB
17,10,22-01-2024,48,186MB
22,15,24-02-2024,145,108MB
6,13,24-04-2024,43,142MB
12,13,18-02-2024,95,161MB
23,12,22-07-2024,49,629MB
10,15,14-01-2024,131,279MB
12,17,23-02-2024,148,115MB
8,8,16-04-2024,57,330MB
7,15,30-07-2024,84,612MB
18,5,1/6/2024,88,859MB
9,15,26-02-2024,57,372MB
5,23,19-06-2024,132,166MB
9,5,8/6/2024,79,940MB
11,7,30-01-2024,69,910MB
19,16,20-06-2024,42,916MB
14,16,12/1/2024,42,357MB
11,18,22-06-2024,48,139MB
23,4,6/7/2024,108,216MB
11,14,19-04-2024,28,455MB
15,3,16-01-2024,111,714MB
9,22,4/2/2024,29,108MB
23,22,23-06-2024,68,673MB
16,23,4/7/2024,21,895MB
5,9,15-07-2024,30,947MB
16,8,21-06-2024,31,712MB
24,4,2/4/2024,90,102MB
18,10,21-07-2024,50,565MB
3,4,4/7/2024,61,949MB
9,16,31-01-2024,31,227MB
20,12,10/1/2024,15,422MB
25,22,15-06-2024,16,172MB
9,5,1/6/2024,149,908MB
13,10,4/4/2024,77,649MB
4,8,9/2/2024,39,827MB
25,18,16-01-2024,83,639MB
17,3,22-03-2024,139,430MB
9,23,26-05-2024,127,557MB
14,20,22-02-2024,134,465MB
13,16,13-07-2024,31,521MB
5,22,30-06-2024,90,486MB
3,24,14-07-2024,10,645MB
1,21,6/2/2024,136,687MB
10,8,11/7/2024,79,999MB
1,14,5/7/2024,63,645MB
3,8,8/7/2024,80,356MB
20,25,13-05-2024,111,295MB
20,3,18-01-2024,26,310MB
10,5,25-02-2024,134,765MB
21,1,17-01-2024,15,760MB
6,18,29-04-2024,35,197MB
14,9,28-06-2024,41,837MB
3,11,14-01-2024,58,664MB
13,12,29-03-2024,21,823MB
16,22,1/3/2024,88,162MB
4,13,11/1/2024,93,146MB
9,12,17-06-2024,36,746MB
18,2,1/4/2024,67,783MB
8,1,2/3/2024,26,315MB
16,14,26-01-2024,24,568MB
11,3,19-04-2024,74,979MB
13,2,29-06-2024,120,946MB
13,5,3/1/2024,134,353MB
19,9,7/2/2024,86,653MB
5,23,2/7/2024,103,247MB
19,19,19-03-2024,108,859MB
25,20,29-06-2024,31,813MB
14,4,25-01-2024,65,739MB
25,6,8/4/2024,123,100MB
13,22,22-06-2024,67,908MB
3,10,21-04-2024,60,220MB
1,2,26-04-2024,51,891MB
13,17,30-05-2024,60,424MB
22,20,29-03-2024,81,785MB
12,23,7/3/2024,123,776MB
16,4,17-05-2024,144,914MB
5,4,6/4/2024,100,317MB
24,12,2/3/2024,69,987MB
19,1,11/4/2024,67,890MB
15,12,22-04-2024,140,580MB
18,1,22-03-2024,126,883MB
4,24,16-03-2024,20,576MB
25,14,5/3/2024,114,910MB
16,8,16-01-2024,102,486MB
19,5,27-04-2024,89,804MB
25,20,9/3/2024,64,999MB
17,10,1/2/2024,88,634MB
22,21,21-03-2024,13,271MB
9,18,1/8/2024,19,256MB
4,8,25-06-2024,44,901MB
15,1,4/6/2024,93,202MB
25,1,22-05-2024,65,486MB
1,12,25-03-2024,80,680MB
15,23,13-07-2024,100,385MB
20,25,23-03-2024,106,150MB
9,3,22-03-2024,45,672MB
13,23,23-03-2024,49,145MB
24,18,1/5/2024,54,553MB
4,22,2/2/2024,138,599MB
22,9,11/5/2024,149,109MB
18,10,29-06-2024,125,551MB
8,5,4/5/2024,105,312MB
19,10,18-05-2024,25,662MB
6,12,6/1/2024,24,161MB
21,1,30-06-2024,145,745MB
19,13,30-04-2024,139,362MB
24,13,13-01-2024,111,628MB
7,3,14-03-2024,83,254MB
11,19,21-03-2024,38,905MB
5,14,6/7/2024,131,185MB
23,7,9/2/2024,144,904MB
6,24,10/7/2024,59,833MB
10,25,27-01-2024,149,942MB
22,17,2/5/2024,31,869MB
8,1,14-04-2024,140,757MB
14,20,19-05-2024,19,454MB
17,23,7/4/2024,107,863MB
4,21,28-05-2024,48,770MB
24,18,15-05-2024,12,441MB
5,23,24-02-2024,70,421MB
8,16,22-07-2024,105,370MB
8,5,23-05-2024,86,429MB
6,23,8/7/2024,20,464MB
25,12,24-06-2024,42,752MB
8,15,19-06-2024,32,427MB
23,3,25-05-2024,23,958MB
13,9,15-01-2024,129,874MB
24,12,14-03-2024,18,513MB
4,8,21-04-2024,74,621MB
2,2,6/7/2024,92,735MB
20,9,3/1/2024,147,144MB
16,6,1/2/2024,19,528MB
3,23,28-01-2024,40,794MB
4,16,22-07-2024,81,576MB
10,25,22-04-2024,63,849MB
9,21,7/6/2024,97,746MB
25,4,11/3/2024,136,435MB
17,6,18-05-2024,32,211MB
22,11,16-07-2024,66,374MB
25,20,9/2/2024,53,901MB
16,22,13-04-2024,106,165MB
11,16,27-06-2024,120,601MB
24,1,31-07-2024,11,751MB
7,1,1/1/2024,20,768MB
12,23,1/4/2024,99,656MB
19,1,4/7/2024,118,775MB
21,5,24-01-2024,102,826MB
10,13,17-03-2024,23,891MB
16,18,3/4/2024,81,663MB
12,19,19-05-2024,130,207MB
24,14,4/2/2024,89,950MB
17,11,5/7/2024,132,328MB
23,18,10/7/2024,135,889MB
2,25,28-01-2024,14,650MB
8,20,24-02-2024,17,538MB
15,6,7/1/2024,19,361MB
18,11,11/7/2024,97,843MB
20,11,7/5/2024,27,670MB
12,6,26-02-2024,120,261MB
7,13,6/2/2024,22,554MB
15,6,11/5/2024,115,498MB
16,22,18-05-2024,127,203MB
18,21,25-07-2024,142,178MB
5,1,4/5/2024,79,146MB
16,25,1/7/2024,135,334MB
19,24,20-03-2024,30,794MB
21,19,5/5/2024,134,521MB
8,1,7/3/2024,17,546MB
5,5,31-03-2024,104,896MB
25,16,28-05-2024,33,657MB
12,21,10/6/2024,78,523MB
9,25,4/6/2024,73,732MB
1,24,29-01-2024,144,265MB
8,1,21-01-2024,97,884MB
1,19,8/5/2024,120,523MB
5,13,22-04-2024,66,972MB
2,5,7/3/2024,35,491MB
4,20,10/3/2024,123,821MB
19,22,24-07-2024,49,609MB
13,5,22-07-2024,127,339MB
20,15,10/6/2024,59,275MB
11,3,18-02-2024,90,977MB
5,8,15-02-2024,68,385MB
1,11,22-05-2024,72,208MB
5,24,20-05-2024,128,879MB
8,11,22-02-2024,47,367MB
5,19,14-03-2024,20,841MB
