UserID,RechargeID,Date,Amount,Validity,DataPackType
13,1002,21-01-2024,60,90,Premium
18,1003,18-06-2024,30,50,Standard
13,1004,17-07-2024,20,20,Basic
21,1005,11/2/2024,60,10,Basic
3,1006,2/7/2024,20,50,Standard
7,1007,13-01-2024,40,10,Basic
25,1008,7/4/2024,80,30,Standard
20,1009,12/2/2024,90,70,Premium
6,1010,29-05-2024,30,80,Premium
24,1011,1/7/2024,70,20,Basic
2,1012,21-01-2024,80,60,Premium
9,1013,12/3/2024,20,70,Premium
13,1014,7/2/2024,40,10,Basic
4,1015,18-05-2024,90,30,Standard
14,1016,16-07-2024,70,80,Premium
21,1017,16-05-2024,60,60,Premium
11,1018,26-04-2024,30,90,Premium
5,1019,1/8/2024,20,10,Basic
2,1020,18-04-2024,60,40,Standard
16,1021,25-05-2024,20,80,Premium
4,1022,16-06-2024,40,30,Standard
1,1023,2/6/2024,80,90,Premium
24,1024,24-02-2024,90,10,Basic
5,1025,2/5/2024,30,10,Basic
3,1026,18-01-2024,70,90,Premium
25,1027,17-02-2024,80,60,Premium
16,1028,9/5/2024,20,10,Basic
9,1029,4/1/2024,40,10,Basic
7,1030,10/5/2024,90,50,Standard
11,1031,4/7/2024,70,70,Premium
9,1032,31-01-2024,80,70,Premium
24,1033,8/3/2024,20,10,Basic
4,1034,10/6/2024,40,30,Standard
15,1035,2/1/2024,80,70,Premium
10,1036,17-01-2024,60,50,Standard
11,1037,17-05-2024,90,80,Premium
5,1038,7/3/2024,90,80,Premium
3,1039,22-03-2024,20,10,Basic
1,1040,20-03-2024,20,10,Basic
19,1041,21-06-2024,20,10,Basic
20,1042,5/5/2024,70,60,Premium
1,1043,2/6/2024,90,80,Premium
24,1044,7/6/2024,60,50,Standard
4,1045,27-02-2024,50,40,Standard
10,1046,8/7/2024,70,60,Premium
18,1047,21-06-2024,90,80,Premium
17,1048,14-06-2024,80,70,Premium
1,1049,23-04-2024,80,70,Premium
13,1050,26-02-2024,70,60,Premium
6,1051,20-06-2024,30,20,Basic
13,1052,23-01-2024,90,80,Premium
19,1053,25-03-2024,40,30,Standard
23,1054,25-07-2024,50,40,Standard
15,1055,14-02-2024,70,70,Premium
4,1056,8/4/2024,80,90,Premium
1,1057,16-07-2024,20,80,Premium
10,1058,8/5/2024,40,80,Premium
13,1059,2/6/2024,90,90,Premium
11,1060,25-02-2024,70,30,Standard
18,1061,16-02-2024,60,20,Basic
19,1062,18-01-2024,30,30,Standard
24,1063,15-06-2024,20,60,Premium
6,1064,5/1/2024,60,80,Premium
25,1065,7/1/2024,20,40,Standard
23,1066,10/4/2024,40,60,Premium
14,1067,1/6/2024,80,50,Standard
7,1068,17-03-2024,90,10,Basic
2,1069,12/4/2024,30,20,Basic
11,1070,10/3/2024,70,10,Basic
10,1071,8/2/2024,80,60,Premium
17,1072,2/7/2024,20,30,Standard
17,1073,4/1/2024,40,80,Premium
2,1074,25-03-2024,90,30,Standard
10,1075,7/6/2024,70,20,Basic
25,1076,30-03-2024,80,80,Premium
24,1077,20-06-2024,20,40,Standard
12,1078,19-02-2024,40,80,Premium
1,1079,22-06-2024,80,20,Basic
10,1080,16-01-2024,60,40,Standard
7,1081,25-05-2024,90,60,Premium
4,1082,30-06-2024,90,20,Basic
24,1083,29-04-2024,20,80,Premium
1,1084,7/1/2024,20,30,Standard
22,1085,26-02-2024,20,20,Basic
23,1086,12/3/2024,70,10,Basic
15,1087,12/4/2024,90,80,Premium
5,1088,11/7/2024,60,40,Standard
22,1089,17-02-2024,50,20,Basic
25,1090,9/2/2024,70,50,Standard
24,1091,27-04-2024,90,10,Basic
10,1092,22-03-2024,80,70,Premium
18,1093,23-05-2024,80,80,Premium
17,1094,4/2/2024,70,30,Standard
2,1095,9/7/2024,30,70,Premium
5,1096,9/1/2024,90,20,Basic
3,1097,23-01-2024,40,60,Premium
16,1098,7/6/2024,50,90,Premium
1,1099,5/6/2024,30,20,Basic
14,1100,24-06-2024,30,20,Basic
8,1101,26-04-2024,100,90,Premium
1,1102,27-06-2024,40,30,Standard
4,1103,4/4/2024,60,50,Standard
19,1104,8/2/2024,70,60,Premium
11,1105,26-03-2024,60,50,Standard
22,1106,9/3/2024,50,40,Standard
7,1107,28-07-2024,30,20,Basic
10,1108,26-04-2024,90,80,Premium
15,1109,2/6/2024,50,40,Standard
10,1110,7/2/2024,100,90,Premium
10,1111,30-05-2024,80,70,Premium
9,1112,10/2/2024,40,30,Standard
24,1113,8/5/2024,90,80,Premium
15,1114,10/7/2024,100,90,Premium
2,1115,23-07-2024,100,90,Premium
13,1116,4/4/2024,70,60,Premium
8,1117,19-04-2024,90,80,Premium
8,1118,6/1/2024,80,70,Premium
7,1119,6/6/2024,60,50,Standard
16,1120,1/1/2024,30,20,Basic
8,1121,28-01-2024,100,90,Premium
11,1122,21-03-2024,40,30,Standard
4,1123,23-01-2024,80,70,Premium
7,1124,30-04-2024,40,30,Standard
20,1125,1/6/2024,30,20,Basic
6,1126,25-05-2024,80,70,Premium
12,1127,29-03-2024,30,20,Basic
5,1128,28-03-2024,100,90,Premium
14,1129,17-03-2024,90,80,Premium
6,1130,17-01-2024,30,20,Basic
10,1131,1/1/2024,90,80,Premium
6,1132,1/6/2024,100,90,Premium
15,1133,7/7/2024,100,90,Premium
18,1134,23-05-2024,20,10,Basic
15,1135,27-05-2024,80,70,Premium
13,1136,6/6/2024,40,30,Standard
15,1137,23-01-2024,80,70,Premium
12,1138,28-07-2024,40,30,Standard
13,1139,22-02-2024,20,10,Basic
3,1140,8/4/2024,70,60,Premium
16,1141,1/7/2024,30,20,Basic
19,1142,2/3/2024,30,20,Basic
4,1143,16-01-2024,30,20,Basic
23,1144,3/7/2024,60,50,Standard
3,1145,17-03-2024,80,70,Premium
20,1146,31-05-2024,20,10,Basic
24,1147,11/2/2024,50,40,Standard
3,1148,19-04-2024,80,70,Premium
4,1149,19-07-2024,50,40,Standard
7,1150,30-07-2024,50,40,Standard
4,1151,26-05-2024,70,60,Premium
16,1152,16-04-2024,90,80,Premium
23,1153,7/6/2024,20,10,Basic
1,1154,24-05-2024,80,70,Premium
12,1155,11/3/2024,20,10,Basic
10,1156,26-03-2024,20,10,Basic
8,1157,8/5/2024,100,90,Premium
7,1158,5/3/2024,80,70,Premium
20,1159,11/7/2024,50,40,Standard
19,1160,31-07-2024,50,40,Standard
5,1161,21-06-2024,100,90,Premium
2,1162,25-03-2024,90,80,Premium
10,1163,12/2/2024,90,80,Premium
9,1164,16-01-2024,20,10,Basic
24,1165,18-07-2024,100,90,Premium
21,1166,30-07-2024,80,70,Premium
10,1167,11/7/2024,100,90,Premium
14,1168,6/1/2024,100,90,Premium
6,1169,6/3/2024,40,30,Standard
24,1170,31-05-2024,20,10,Basic
12,1171,26-06-2024,100,90,Premium
2,1172,1/2/2024,90,80,Premium
12,1173,15-02-2024,90,80,Premium
24,1174,12/6/2024,40,30,Standard
19,1175,12/1/2024,60,50,Standard
9,1176,7/4/2024,30,20,Basic
11,1177,4/1/2024,60,50,Standard
23,1178,3/7/2024,20,10,Basic
1,1179,30-01-2024,20,10,Basic
10,1180,6/3/2024,70,60,Premium
12,1181,10/5/2024,50,40,Standard
24,1182,5/1/2024,90,80,Premium
17,1183,19-02-2024,50,40,Standard
17,1184,5/6/2024,60,50,Standard
18,1185,26-06-2024,20,10,Basic
6,1186,20-05-2024,70,60,Premium
13,1187,13-07-2024,100,90,Premium
10,1188,3/2/2024,40,30,Standard
18,1189,30-06-2024,60,50,Standard
13,1190,7/4/2024,70,60,Premium
12,1191,10/7/2024,50,60,Premium
2,1192,4/3/2024,80,70,Premium
22,1193,27-05-2024,70,20,Basic
12,1194,5/2/2024,60,20,Basic
23,1195,11/5/2024,90,60,Premium
23,1196,16-02-2024,50,80,Premium
4,1197,20-02-2024,30,70,Premium
18,1198,29-04-2024,70,20,Basic
16,1199,23-06-2024,50,20,Basic
5,1200,6/4/2024,100,10,Basic
24,1201,23-05-2024,60,30,Standard
1,1202,23-02-2024,50,20,Basic
2,1203,7/2/2024,30,60,Premium
13,1204,12/1/2024,50,10,Basic
2,1205,12/1/2024,50,50,Standard
2,1206,13-03-2024,50,70,Premium
21,1207,1/2/2024,50,30,Standard
7,1208,22-03-2024,30,90,Premium
19,1209,28-03-2024,80,10,Basic
12,1210,18-03-2024,70,40,Standard
3,1211,2/6/2024,20,80,Premium
10,1212,8/3/2024,90,60,Premium
2,1213,19-01-2024,30,50,Standard
24,1214,25-05-2024,30,80,Premium
20,1215,19-01-2024,100,80,Premium
1,1216,8/2/2024,20,40,Standard
1,1217,27-06-2024,20,50,Standard
16,1218,15-03-2024,90,90,Premium
20,1219,18-05-2024,50,30,Standard
15,1220,28-03-2024,40,50,Standard
3,1221,22-01-2024,50,30,Standard
23,1222,27-06-2024,60,10,Basic
21,1223,24-01-2024,30,10,Basic
6,1224,7/1/2024,20,60,Premium
6,1225,24-04-2024,20,80,Premium
16,1226,28-01-2024,80,80,Premium
2,1227,1/2/2024,30,30,Standard
19,1228,20-07-2024,80,70,Premium
12,1229,1/4/2024,80,10,Basic
25,1230,9/5/2024,70,80,Premium
17,1231,3/3/2024,50,40,Standard
14,1232,10/2/2024,70,50,Standard
2,1233,20-07-2024,70,90,Premium
21,1234,3/6/2024,60,90,Premium
19,1235,22-03-2024,100,20,Basic
10,1236,28-04-2024,50,40,Standard
16,1237,25-03-2024,30,30,Standard
18,1238,15-06-2024,30,20,Basic
21,1239,20-05-2024,60,40,Standard
11,1240,3/2/2024,60,10,Basic
4,1241,1/3/2024,60,60,Premium
11,1242,16-06-2024,40,70,Premium
18,1243,11/1/2024,40,20,Basic
15,1244,15-03-2024,60,40,Standard
21,1245,5/4/2024,60,10,Basic
9,1246,16-07-2024,100,40,Standard
13,1247,2/1/2024,90,50,Standard
13,1248,26-05-2024,100,10,Basic
18,1249,27-05-2024,50,10,Basic
17,1250,6/4/2024,30,30,Standard
9,1251,3/5/2024,100,50,Standard
7,1252,13-02-2024,70,80,Premium
25,1253,15-03-2024,80,20,Basic
20,1254,8/1/2024,90,30,Standard
23,1255,15-06-2024,30,30,Standard
3,1256,18-02-2024,20,80,Premium
23,1257,26-01-2024,80,90,Premium
12,1258,29-03-2024,80,40,Standard
11,1259,20-04-2024,40,30,Standard
1,1260,28-01-2024,60,40,Standard
20,1261,1/5/2024,100,50,Standard
12,1262,2/6/2024,100,70,Premium
5,1263,5/1/2024,20,80,Premium
9,1264,8/1/2024,60,60,Premium
19,1265,14-03-2024,20,40,Standard
5,1266,26-07-2024,60,90,Premium
16,1267,22-04-2024,60,10,Basic
19,1268,16-01-2024,70,60,Premium
5,1269,13-02-2024,80,70,Premium
8,1270,13-04-2024,70,60,Premium
5,1271,16-06-2024,100,90,Premium
7,1272,26-05-2024,30,10,Basic
17,1273,12/6/2024,50,20,Basic
16,1274,3/2/2024,60,60,Premium
4,1275,10/7/2024,80,70,Premium
25,1276,5/1/2024,70,50,Standard
11,1277,25-01-2024,60,10,Basic
17,1278,24-03-2024,90,20,Basic
15,1279,28-06-2024,40,90,Premium
25,1280,16-02-2024,60,10,Basic
9,1281,4/6/2024,20,70,Premium
25,1282,2/2/2024,20,90,Premium
11,1283,31-05-2024,100,30,Standard
8,1284,15-07-2024,60,90,Premium
15,1285,15-01-2024,60,80,Premium
23,1286,17-05-2024,80,20,Basic
22,1287,20-04-2024,100,10,Basic
25,1288,20-01-2024,80,30,Standard
23,1289,21-02-2024,20,70,Premium
6,1290,21-02-2024,30,20,Basic
3,1291,13-01-2024,60,50,Standard
15,1292,16-07-2024,30,90,Premium
21,1293,25-01-2024,90,10,Basic
8,1294,30-01-2024,80,20,Basic
15,1295,23-05-2024,70,70,Premium
19,1296,24-02-2024,100,60,Premium
25,1297,7/7/2024,50,50,Standard
19,1298,6/4/2024,60,20,Basic
4,1299,27-04-2024,40,80,Premium
8,1300,11/2/2024,30,10,Basic
10,1301,15-06-2024,90,20,Basic
12,1302,10/7/2024,20,50,Standard
14,1303,5/7/2024,80,80,Premium
25,1304,7/3/2024,60,40,Standard
8,1305,10/4/2024,70,40,Standard
10,1306,13-06-2024,90,70,Premium
3,1307,28-05-2024,40,60,Premium
24,1308,14-07-2024,80,80,Premium
16,1309,24-06-2024,70,20,Basic
23,1310,25-04-2024,60,90,Premium
5,1311,1/5/2024,90,20,Basic
24,1312,2/1/2024,60,20,Basic
24,1313,6/6/2024,80,70,Premium
1,1314,22-02-2024,100,30,Standard
16,1315,22-05-2024,80,40,Standard
18,1316,9/2/2024,60,30,Standard
11,1317,19-06-2024,80,60,Premium
18,1318,12/5/2024,50,60,Premium
3,1319,12/7/2024,40,70,Premium
7,1320,23-06-2024,50,90,Premium
16,1321,18-04-2024,100,10,Basic
21,1322,28-01-2024,30,80,Premium
5,1323,23-05-2024,70,10,Basic
9,1324,11/5/2024,90,50,Standard
7,1325,3/5/2024,60,40,Standard
11,1326,22-02-2024,30,80,Premium
23,1327,7/7/2024,50,40,Standard
4,1328,16-07-2024,100,50,Standard
14,1329,14-06-2024,50,10,Basic
23,1330,24-07-2024,90,90,Premium
16,1331,23-07-2024,20,40,Standard
7,1332,22-01-2024,30,80,Premium
1,1333,27-04-2024,100,50,Standard
4,1334,9/5/2024,30,80,Premium
3,1335,28-03-2024,40,20,Basic
6,1336,21-06-2024,50,50,Standard
20,1337,3/4/2024,30,80,Premium
4,1338,12/6/2024,20,40,Standard
19,1339,13-04-2024,90,30,Standard
14,1340,2/6/2024,30,10,Basic
1,1341,18-01-2024,80,10,Basic
11,1342,7/5/2024,100,90,Premium
12,1343,29-04-2024,90,60,Premium
21,1344,25-07-2024,40,50,Standard
7,1345,14-05-2024,90,70,Premium
19,1346,6/3/2024,50,80,Premium
6,1347,2/6/2024,90,50,Standard
17,1348,8/6/2024,100,70,Premium
17,1349,3/7/2024,90,90,Premium
11,1350,28-07-2024,60,70,Premium
3,1351,24-06-2024,30,50,Standard
4,1352,14-05-2024,20,90,Premium
9,1353,8/4/2024,90,40,Standard
12,1354,31-05-2024,70,80,Premium
16,1355,30-01-2024,80,30,Standard
3,1356,9/1/2024,60,30,Standard
10,1357,19-04-2024,20,10,Basic
24,1358,10/2/2024,60,40,Standard
20,1359,20-03-2024,40,80,Premium
6,1360,14-04-2024,40,70,Premium
6,1361,18-05-2024,80,30,Standard
5,1362,28-05-2024,70,10,Basic
9,1363,14-05-2024,40,80,Premium
