UserID,RechargeID,Date,Amount,Validity,DataPackType
7,3002,11-09-2022,70,60,Premium
13,3003,27-06-2022,60,50,Standard
13,3004,24-08-2022,90,80,Premium
7,3005,14-11-2022,20,10,Basic
20,3006,26-09-2022,30,20,Basic
16,3007,28-07-2022,100,90,Premium
17,3008,03-03-2022,90,80,Premium
2,3009,05-04-2022,40,30,Standard
2,3010,03-11-2022,80,70,Premium
10,3011,03-03-2022,100,90,Premium
2,3012,20-03-2022,60,50,Standard
25,3013,30-05-2022,100,90,Premium
11,3014,27-09-2022,90,80,Premium
18,3015,15-09-2022,60,50,Standard
25,3016,02-10-2022,60,50,Standard
9,3017,13-07-2022,50,40,Standard
20,3018,05-10-2022,80,70,Premium
3,3019,11-12-2022,60,50,Standard
6,3020,26-09-2022,80,70,Premium
10,3021,01-12-2022,70,60,Premium
22,3022,06-08-2022,80,70,Premium
12,3023,11-08-2022,40,30,Standard
3,3024,02-07-2022,70,60,Premium
12,3025,01-03-2022,100,90,Premium
20,3026,29-05-2022,100,90,Premium
9,3027,19-01-2022,50,40,Standard
8,3028,01-11-2022,90,80,Premium
23,3029,16-01-2022,80,70,Premium
7,3030,02-12-2022,20,10,Basic
8,3031,09-05-2022,80,70,Premium
4,3032,03-07-2022,100,90,Premium
13,3033,10-12-2022,90,80,Premium
12,3034,07-02-2022,80,70,Premium
1,3035,04-02-2022,100,90,Premium
3,3036,15-06-2022,60,50,Standard
19,3037,20-11-2022,30,20,Basic
12,3038,04-11-2022,20,10,Basic
8,3039,15-02-2022,30,20,Basic
14,3040,31-07-2022,80,70,Premium
21,3041,07-02-2022,100,90,Premium
14,3042,06-04-2022,90,80,Premium
19,3043,28-09-2022,70,60,Premium
22,3044,02-09-2022,60,50,Standard
14,3045,08-01-2022,40,30,Standard
18,3046,19-11-2022,60,50,Standard
10,3047,12-08-2022,40,30,Standard
5,3048,11-12-2022,70,60,Premium
17,3049,25-06-2022,90,80,Premium
25,3050,08-08-2022,80,70,Premium
18,3051,31-01-2022,20,10,Basic
7,3052,08-07-2022,50,40,Standard
17,3053,04-05-2022,40,30,Standard
17,3054,20-02-2022,30,20,Basic
9,3055,07-06-2022,70,60,Premium
9,3056,18-02-2022,20,10,Basic
15,3057,21-12-2022,50,40,Standard
20,3058,17-05-2022,80,70,Premium
7,3059,01-11-2022,50,40,Standard
1,3060,11-01-2022,100,90,Premium
11,3061,29-01-2022,80,70,Premium
3,3062,26-05-2022,60,50,Standard
10,3063,16-05-2022,100,90,Premium
4,3064,24-07-2022,70,60,Premium
12,3065,18-07-2022,40,30,Standard
9,3066,01-04-2022,40,30,Standard
3,3067,12-11-2022,70,60,Premium
2,3068,12-03-2022,40,30,Standard
18,3069,24-06-2022,30,20,Basic
6,3070,06-12-2022,60,50,Standard
20,3071,11-05-2022,40,30,Standard
15,3072,31-10-2022,90,80,Premium
2,3073,28-02-2022,70,60,Premium
10,3074,03-05-2022,20,10,Basic
2,3075,10-02-2022,60,50,Standard
25,3076,25-11-2022,50,40,Standard
7,3077,23-03-2022,30,20,Basic
23,3078,07-08-2022,80,70,Premium
14,3079,28-12-2022,50,40,Standard
